stn,exp,lat,lon,cluster,composite_z,trt,tp,dt,days,hours,mean_cells_ml,sd_cells_ml,mean_gr_d,sd_gr_d,fgC_cell,fgN_cell,interp_fgC_cell,boc,interp_bocdoc,mean_toc,sd_toc,doc,toc_unc,mean_toc_unc,boc_rate,doc_rate,doc_rem,doc_bdl,bge,control_doc,amend_doc,amend_doc_bioav,bge_inclusion
15,PB15,34.26434,-119.907,Low biomass,-3.2944146828558716,Control,0,2023-08-16T17:00:00Z,0,0,91784,6797,0.6193197984186116,0.0048405805889811995,27.749338577409254,16.472210114443854,27.749338577409254,0.2122454409990776,FALSE,68.58565356662415,1.4824083633148024,68.37340812562506,0.8558688676087538,0.4,0.13794352685804454,0.08991308885885747,0.7830530451096962,TRUE,NA,68.37340812562506,0,NA,TRUE
15,PB15,34.26434,-119.907,Low biomass,-3.2944146828558716,Control,1,2023-08-17T15:30:00Z,0.94,22.56,169497,7508,0.6193197984186116,0.0048405805889811995,NA,NA,21.486353876247748,0.30348937691353034,TRUE,68.5050219461288,0.17301154810151356,68.20153256921527,0.09988826386932274,0.4,0.13794352685804454,0.08991308885885747,0.7830530451096962,TRUE,NA,68.20153256921527,0,NA,TRUE
15,PB15,34.26434,-119.907,Low biomass,-3.2944146828558716,Control,2,2023-08-18T16:00:00Z,1.96,47.04,416272,2927,0.6193197984186116,0.0048405805889811995,14.666659423871886,9.777772949247925,14.666659423871886,0.5087766376411665,FALSE,69.0663420734232,0.4047572260435226,68.55756543578204,0.23368669341267398,0.4,0.13794352685804454,0.08991308885885747,0.7830530451096962,TRUE,NA,68.55756543578204,0,NA,TRUE
15,PB15,34.26434,-119.907,Low biomass,-3.2944146828558716,Control,3,2023-08-19T15:00:00Z,2.92,70.08,577750,12354,0.6193197984186116,0.0048405805889811995,NA,NA,12.3066771074319,0.592515224901565,TRUE,68.54843897254938,0.6545133692462174,67.95592374764782,0.37788346992251254,0.4,0.13794352685804454,0.08991308885885747,0.7830530451096962,TRUE,NA,67.95592374764782,0,NA,TRUE
15,PB15,34.26434,-119.907,Low biomass,-3.2944146828558716,Control,4,2023-08-20T17:30:00Z,4.02,96.47999999999999,658396,32841,0.6193197984186116,0.0048405805889811995,NA,NA,9.587567047185829,0.5260346494665801,TRUE,68.64250919646058,0.22511782100374628,68.116474546994,0.12997183455589492,0.4,0.13794352685804454,0.08991308885885747,0.7830530451096962,TRUE,NA,68.116474546994,0,NA,NA
15,PB15,34.26434,-119.907,Low biomass,-3.2944146828558716,Control,5,2023-08-21T16:50:00Z,4.99,119.76,642912,44012,0.6193197984186116,0.0048405805889811995,7.193382088478597,8.115610561360471,7.193382088478597,0.3853926387723293,FALSE,67.9757477192877,0.3692574918017643,67.59035508051537,0.21319091229203466,0.4,0.13794352685804454,0.08991308885885747,0.7830530451096962,TRUE,NA,67.59035508051537,0,NA,NA
15,PB15,34.26434,-119.907,Low biomass,-3.2944146828558716,Thomas Fire Ash,0,2023-08-16T17:00:00Z,0,0,100924,1968,0.6273467457253186,0.002213753674139852,27.749338577409254,16.472210114443854,27.749338577409254,0.23338118721553766,FALSE,73.09895683691384,0.7388860405277283,72.8655756496983,0.4265960543991407,0.4,0.774277679061276,1.5877782979142587,4.228599880069908,FALSE,0.48764848346799083,68.37340812562506,4.492167524073238,76.70120974998697,TRUE
15,PB15,34.26434,-119.907,Low biomass,-3.2944146828558716,Thomas Fire Ash,1,2023-08-17T15:30:00Z,0.94,22.56,210212,20619,0.6273467457253186,0.002213753674139852,NA,NA,37.9744652118327,0.6652240234258147,TRUE,73.28192859111478,1.001824032861393,72.61670456768896,0.5784033750531618,0.4,0.774277679061276,1.5877782979142587,4.228599880069908,FALSE,0.48764848346799083,68.20153256921527,4.4151719984736815,76.70120974998697,TRUE
15,PB15,34.26434,-119.907,Low biomass,-3.2944146828558716,Thomas Fire Ash,2,2023-08-18T16:00:00Z,1.96,47.04,416734,2236,0.6273467457253186,0.002213753674139852,49.10849199153823,8.904287009454736,49.10849199153823,1.7054315251334744,FALSE,72.55521026793254,0.3167696622718863,70.84977874279906,0.1828870497837804,0.4,0.774277679061276,1.5877782979142587,4.228599880069908,FALSE,0.48764848346799083,68.55756543578204,2.292213307017022,76.70120974998697,TRUE
15,PB15,34.26434,-119.907,Low biomass,-3.2944146828558716,Thomas Fire Ash,3,2023-08-19T15:00:00Z,2.92,70.08,727992,11901,0.6273467457253186,0.002213753674139852,NA,NA,39.65847530477806,2.4059210628396657,TRUE,70.69448056419422,0.12548753600936766,68.28855950135456,0.07245026269495128,0.4,0.774277679061276,1.5877782979142587,4.228599880069908,FALSE,0.48764848346799083,67.95592374764782,0.3326357537067395,76.70120974998697,TRUE
